portugues,tupi_pred,bleu
kó xe ypy,kó xe nhe'ẽ,55.03212081491043
i popebusu,i îaîba,49.99999999999999
xe abangaíba,xe îandéîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa,49.99999999999999
i mongu'ipyra,i îaîba,49.99999999999999
xe nambi-asyk,xe apysá-pyrá,49.99999999999999
xe 'anga,xe apytu'u,49.99999999999999
i 'a,i abá,49.99999999999999
xe atimandápe,xe moîasé,49.99999999999999
i ma'enduar,i îe'îaî,49.99999999999999
xe roŷpyre'yma,xe moîaî,49.99999999999999
