portugues,tupi_pred,bleu
aîpó turi,aîe'e'e'e,0.0
oobapybo aîub,xe apé-pûa,0.0
oré apûanã,roîpûaî,0.0
ybyramo i moingó-ukare'yma,ype n'îaîmoîasé,0.0
"koromõ, keygûara temiminõ moaûîébo, asapekóne",aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa,0.0
tera'ute oú,aîeîaîaîaîa!,0.0
erekopîasópe domingo koîpó 'areté amõ pupé?,ereîmoîarûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûûû,0.0
aîpé-'ok,aîmoîaîaîaîaîa,0.0
anhopan,aîe'îa,0.0
aîpitupuku,xe rapy,0.0
