portugues,tupi_pred
"Dá anzóis para mim","Eipuru che rehe anzólo"
"Sendo isso assim, o dia todo e a noite toda tu cuidarás de tua alma","Péicha, ára pukukue ha pyhare pukukue rehechaukáta nde py'a"
"Ela é muito larga","Ipy'a guasuete"
"Lacei-lhe as pernas","Aheja'o ipy"
"É ele o que dá o bem desses","Ha'e ome'ẽva'ekue umi mba'e porã"
"Eu sou uma pessoa desprezível","Che niko peteĩ tapicha vai"
"para nosso encorajamento","ñane mbarete haguã"
"Como seus discípulos receberam-vos","Mba'éichapa hemimbo'e kuéra pene pytyvõ"
"Fiz minas","Ajapóma umi minéra"
"Quem fez isso outrora?","¿Mávapa ojapo va'ekue upéva?"
"ferrugem do ferro","hierro oje'éva"
"Eis que é penoso, certamente, remar canoa","Ko'ápe hasy, añetehápe, remba'apo kano'i"
"Como que para ele ficaste gritando hoje","Mba'éicha piko reñembosarái hese ko'ágã"
"Que chegue logo ao lugar de o matarem","Oguata pya'e hikuái ojuka rangue"
"Não querendo comer, venho","Ndaipotái ho'u, aju"
"Ao chegar o dia oitavo , cortaram seu prepúcio","Oguahẽvo ára ocho-pe , ojeity hikuái ipópe"
"Daí virá para julgar todos os que vivem e os que morreram","Upéi outa ohusga haguã umi oikovévape ha umi omanóva."
"Que se alegre esta vossa terra","To vy'a ko yvy pende rehehápe"
"os parentes de minha mulher","che rembireko ñemoñare"
"Por isso mesmo em tua grande força apóio-me","Upévare nde py'a guasúpe che pytyvõ"
"Vivendo para ir ao encontro da virtude","Oikóvo ohóvo teko joja rehehápe"
"Eu estava, mesmo, esquecendo, não que o quisesse omitir","Che añetehápe areko mandu'a, ndaha'éi che rembipotaha ani haguã"
"Queres que eu te unte com óleo bento?","¿Reipotápa ajurne ndéve aceite de bentón?"
"o que é moído","mba'épa ojejahu"
"Trazei também o tacape!","Eguereko avei pene ao!"
"Sua lei pôs ordem em nossa antiga vida má","Iñe'ẽnguéra omohenda ñande rekove ymaite guare"
"Verdadeiros amaldiçoadores de Deus no fogo te assaram","Umi Tupã Ñandejára añeteguáva tatápe ndereja'ói"
"Vou frequentemente","Aju py'ỹinte"
"Eu tenho as orelhas cortadas","Che korasõ ojejahu"
"Tem tu compaixão de nós durante nossa vida","Eguereko ne mboriahu ore rehe ore rekove pukukue javeve"
"Consolando-se com a compaixão de Deus","Ñanepytyvõ Ñandejára mborayhu rupive"
"Nado","Ñembosarái"
"Ladroeira, palavras ruins, mentiras sobejavam-te","Ponda, ñe'ẽ vai, ñe'ẽ japu nde ári"
"Levando os peixes todos","Ha ogueraha opaichagua pira"
"ah, sim! ah, já entendi!","Ah, añete! ah, añetegua!"
"Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte","Epensamína, che ra'ykuéra, epensamína nde reñotỹha nde rekove"
"Deus fez certa mulher bondosa","Ñandejára ojapo peteĩ kuña imba'eporãva"
"Com seu sangue me lavou","Nde ruguy rehe che mombyry"
"o que estava à sua direita","upe oĩva nde akatúa gotyo"
"Piquei-o","Aipyta chupe"
"Lançaste algum menino sobre ti por desejo sensual?","¿Reñemomba'e va'ekue peteĩ mitãkuimba'e nde reheve nde py'a potĩgui?"
"Fez-lhe perguntas de novo, mas não achando maldade alguma dele","Ha'e oporandu jey chupe, ha ndojuhúi mba'eve ivaíva hese."
"Muito bem, eis que aqui estou, trazendo para ti estes siris","Ha'e niko che, ha'e che aporâ ndéve ko'ã sirilla"
"São muito molestos os tropeços de nossa caminhada","Ñambohasáva ñande rapykuéri ñanembyasýi"
"Dar atenção aos fatos futuros","Ñañangareko hag̃ua umi mbaʼe oikótava"
"Louvo-te muito por me teres salvado","Aguerohoryeterei nde resalváre"
"Importuna-me bem aquela lei nova","Chepy'apyete pe léi pyahu"
"outra coisa","ambue mba'e"
"os que andam pelo caminho","umi ohóva tape rupi"
"Em reparação disso, mudaste-te de aldeia","Rejapóvo upéva, reiko táva ambuégui"
"Dobrei-o","Aitypýi"
"o que entra para junto de mim","Ha'e oike che ykére"
"Digo novamente","Aje'e jey"
"para cá olhando furtivamente","Ko'ápe oma'ẽvo mombyry"
"Honra teu pai e tua mãe","Ehonora nde sy ha nde túva"
"Salve Rainha, nossa esperança","¡Tuipota, ore ruvicha guasu, ore esperánsa!"
"Jazi atravessado na rede","Jazi ojehasáva red-pe"
"Eu sou pequeno","Che mbovymi"
"Arei-o","Ahechaukáta"
"Diferenciando-a das outras mulheres","Ha'e omboja'o chupe ambue kuñágui"
"atrás de uma cerca feita de pedras","peteî óga yvate ita ári"
"Eu sou manchado","Che añembyai"
"Escondo-me bem estando deitado aqui","Añemondýi porãva'erã apyta hag̃ua ko'ápe"
"Fui defecar","Ahasáma che mba'e'okápe"
"Queimou tua alma o fogo dele, descendo","Nde py'a nde py'a ho'a itágui,"
"Quando fustigava o sol a terra, eu vim","Kuarahy omboty jave yvy, aju"
"Estou acordando","Añáy hína"
"aljava de ferro","mba'e'okápe"
"Vós sois avaros com ele","Peẽ niko pende rapicha kuéra pende rapicha kuéra ndive."
"meu pensamento","Che apytu'ũ"
"Não o deixo de querer","Che mborayhu añete"
"Tu és a manhã, causa verdadeira da alegria do dia","Nde hína pyhareve, añeteva'ekue ko ára vy'ápe"
"Trespassaram suas mãos juntamente com seus pés, sobre a cruz pregando meu senhor","Ohasávo ipópe ha ipype, kurusúre oñembo'e che karai"
"fruto dela","hi'upyrâ"
"És parecido com um chamusco, ó coisa fedorenta!","Nde resay nde py'a, nde mba'e ryru!"
