"portugues","tupi"
"cavidade dela","inhanhã"
"o fujão, o que tem costume de fugir","kanhembora"
"Pôr o bispo em nossa testa o óleo sagrado","asé sybápe abaregûasu nhandy-karaíba nonga"
"Sofreu, suportando o fogo, tendo alegria após sua morte","sosang, tatá porarábo, o manõ riré toryba rerekóbo"
"Há poucos dias mandaste tua esposa como espiã","kûesé nde remirekó manhanamo ereîmondó"
"Mesmo dando-o à luz sua mãe bondosa estava virgem?","i mbo'a tiruãpe i xy-angaturama rekóû ababykagûere'ymamo?"
"Temos coisas comuns","îarekó o îomba'e"
"O que não repete seus antigos pecados","o angaîpagûera reroîebysare'yma"
"Amaldiçoamos o diabo, a ti somente obedecendo muito","oroîmomburu anhanga, nde nhõ nde rapîaretébo"
"Será que Nosso Senhor estava muito angustiado, longamente rezando a Ele?","i angekoaí-katu serã îandé îara i mongetapukûabo?"
"Semelhantemente a isso fizeram com seus pés, pregando-os também com cravos?","a'e rame'ĩpe ybŷá i py rerekóû itapygûá pupé i moîáno?"
"Caiu-me uma tormenta","o'ar yaíba ixébo"
"Reparti-os pela metade","oîopytera rupi aîmoîa'ok"
"Dentro daquele navio fazendo-os embarcar consigo também","a'e ygarusu pupé sero'arukáno"
"Eu não sou medroso","na xe poropoûsubi"
"Já se juntaram a eles muitos moços bebedores de cauim","onheŷnhang umã sesé kunumĩetá kagûara"
"Com algumas coisas que são saborosas","amõ seba'e irũmo nhẽ"
"a palavra de Deus","tupana nhe'enga"
"Como um cão, atacou-me","îagûara rame'ĩ xe repenhani"
"Envergonha-se o sol, nascendo, diante de teu brilho","otĩ kûarasy osema nde beraba robaké"
"Eu fico salivando","xe rendy-rendy"
"Não quero ir para longe","n'asó-potari mamõ…"
"Estou atrás dele","sakypûeri aîkó"
"Alternaste alguns dias de guarda, não entrando na igreja?","ereîmopa'ũpe 'areté amõ, tupãokype eîkee'yma?"
"Quem, hoje, é como eu?","abápe kori xe îá?"
"Meu pai os inimigos comeram","xe ruba tobaîara îa'u"
"Não me enternecendo eu pelo que morreu para me resgatar","xe repyramo omanõba'epûera ri xe akyre'ymamo"
"Esfreguei-o com cera","aîkytyk iraîty pupé"
"Seus amigos, os franceses, trouxeram armas de fogo em vão","saûsupara, aîuruîuba, mokaba ogûeru tenhẽ"
"Que disse Deus, vendo seu frouxo pudor?","marã e'ipe tupã i tĩîeraba repîaka?"
"Eu sou raro","xe kûaî"
"Eu tenho a pele quente","xe pirakubor"
