tupi,portugues_pred
"eîme'eng pindá ixébe","Faça-o cair em cima de nós"
"aîpó e'ymeté, ko'arapukuî, pysaré nde maînanĩ nde 'anga resé-ne","E agora, hoje, tu vais ter a tua alma, a tua alma, a tua alma"
"i popebusu","seu povo"
"aîkupyîurar","Eu estou a dormir"
"a'e aé koba'e katu me'engara re'a","Eu sou o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é"
"xe abangaíba","Eu sou o que me engano"
"asé mopyatãgûama resé","Eu sou muito mau"
"o boîáramo pe rari","Se ele te derrubar"
"aîekûarybykoî","Eu sou muito triste"
"abápe aîpoba'e oîmonhang erimba'e?","Onde é que eu vou para ter um homem bom?"
"itá repoti","a pedra de pedra"
"sasy nakó ygá-pukuîa","Não é difícil que o homem seja morto"
"i xupé îasûá oîeí eresapuká-pukaî","Que o seu pai seja muito bom para que ele seja muito bom"
"t'obasem esapy'a o îukaûãme","A gente está em seu lugar"
"na mba'e 'u potá ruã aîur","Não tenho nada de bom para comer"
"mokõî oîoirundyk oito 'ara sykeme, i 'apira mondoki","Os dois são os que se afastam de nós, de modo que nos afastam"
"a'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane","Eu sou o que está morto, por causa da morte de seu pai"
"ta sesãî kó pe retama","Que este seja o teu corpo"
"xe ra'ysé","Eu sou o meu filho"
"nd'a'é te'e nde ratãngatu resé gûiîekoka","Não te deixarei levar por causa de tua grandeza"
"tekokatu repenhandápe peîkóbo","Fazei-vos com a vida"
"xe resaraî é gûitekóbo, n'aseîá-potá ruã!","Eu sou o que me faz sentir, não querendo ser assim!"
"ereîpotápe îandy-karaíba pupé ixé nde pixyba?","Quer que o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é o que é?"
